url,status,type,title,title_length,description,description_length,h1,canonical,robots,body_bytes,word_count,main_word_count,depth
https://deep20bench.com/,,editorial,Deep20Bench: A Twenty Questions LLM Benchmark,45,"Compare 18 AI models in a public Twenty Questions LLM benchmark measuring question strategy, multi-turn reasoning, state tracking, reliability, cost, and runtime.",162,How well can AI models play Twenty Questions?,https://deep20bench.com/,,127916,2232,2125,0
https://deep20bench.com/results/,,editorial,LLM Benchmark Results and Leaderboard | Deep20Bench,51,"Compare official Twenty Questions LLM benchmark scores, outcomes, costs, runtime, and repeated-trial stability.",111,Results,https://deep20bench.com/results/,,116203,1748,1641,1
https://deep20bench.com/results/reliability/,,editorial,LLM Benchmark Stability and Reliability | Deep20Bench,53,"Compare repeated-trial stability, confidence-interval width, and output-contract compliance across tested LLMs.",111,Stability,https://deep20bench.com/results/reliability/,,99950,1597,1490,2
https://deep20bench.com/results/cost/,,editorial,LLM Benchmark Cost Comparison | Deep20Bench,43,"Compare recorded LLM benchmark costs by tested model, support component, run, and episode.",90,Cost,https://deep20bench.com/results/cost/,,231577,1884,1777,2
https://deep20bench.com/results/time/,,editorial,LLM Benchmark Runtime and Response Time | Deep20Bench,53,"Compare tested-model response time, latency per call, and end-to-end LLM benchmark runtime.",91,Time,https://deep20bench.com/results/time/,,216241,1868,1761,2
https://deep20bench.com/results/efficiency/,,editorial,LLM Benchmark Cost Efficiency | Deep20Bench,43,Compare question score and recorded tested-model cost across official Twenty Questions LLM benchmark runs.,106,Efficiency,https://deep20bench.com/results/efficiency/,,108542,1970,1863,2
https://deep20bench.com/methodology/,,editorial,Twenty Questions LLM Benchmark Method | Deep20Bench,51,"Follow the Deep20Bench LLM benchmark method through answer checks, repeated Twenty Questions trials, scoring, and publication.",126,From one round to a comparable score.,https://deep20bench.com/methodology/,,39442,1726,1619,1
https://deep20bench.com/about/,,editorial,Deep20Bench Origin and Related LLM Research,43,"Read how the Deep20Bench LLM benchmark began, see project news, and review related Twenty Questions research.",109,"A shared idea, built into a benchmark.",https://deep20bench.com/about/,,25380,499,392,1
https://deep20bench.com/data/,,editorial,"Deep20Bench Dataset, Results and Transcripts",44,"Download the public Deep20Bench dataset, leaderboard results, trial transcripts, schema, and citation details.",110,Download the public benchmark record.,https://deep20bench.com/data/,,24020,461,354,1
https://deep20bench.com/runs/BX-20260904-official-M0022-001/,,run,GPT-6 Astra (high) Benchmark Results | Deep20Bench,50,"Official Twenty Questions LLM benchmark results for GPT-6 Astra (high): rank 11, 15.09 question score across 35 episodes with 94.3% success.",140,GPT-6 AstraHigh,https://deep20bench.com/runs/BX-20260904-official-M0022-001/,,79472,682,643,1
